CodigoInternoPuntoCarga,LatitudPuntoCarga,LongitudPuntoCarga
03,41.1996,1.2194
143,41.1586,1.1764
40,41.1019,1.2257
16,41.1644,1.159
30021,38.7153,-0.6595
C143205,41.1586,1.1764
02,38.6858,-4.1124
C29205,41.1019,1.2257
09,41.1145,1.1816
C29205,41.1051,1.2464
09,41.1215,1.1809
10374,41.212,1.162
C115205,41.1535,1.2126
C40205,41.1019,1.2257
C115205,41.165,1.1718
115,41.1535,1.2126
37,41.2063,1.2426
12510B,41.215,1.1516
110,41.6571,1.8568
16,41.1649,1.1709
02,38.6835,-4.0875
115,41.1649,1.1709
34,41.1099,1.192
34,41.115,1.1741
12891MOL,41.5542,2.232
12122,40.4236,0.4309
12347TB,41.1139,1.1826
11103,41.1089,1.1458
34,41.1144,1.1805
11103A,41.2854,1.2495
40,41.1046,1.2351
30115,37.6764,-1.7077
NL05,51.8914,4.2828
1.2347E12,41.4443,1.9878
C40205,41.1066,1.2405
C29205,41.1066,1.2405
24800616-RUTA2-20,51.3737,4.2633
24800615-RUTA2-20,51.3737,4.2633
24800632-RUTA2-20,51.3737,4.2633
24800617-RUTA2-20,51.3737,4.2633
24801606-RUTA2-20,49.4764,8.4305
24804363-RUTA2-20,45.6368,8.8342
10374,41.2108,1.187
DE06,49.5417,8.4119
12347TB,41.1146,1.1765
BE09,51.3704,4.2893
49216,43.2752,-1.7122
100001432,38.6779,-9.197
1016,38.666,-4.0485
1000,38.6768,-4.0611
1802,37.9786,-1.1339
2250,37.9835,-8.8324
24814629-RUTA2-20,41.4667,2.0005
1848,37.5737,-0.9319
100579546,37.7494,-3.9175
100541725,49.4916,0.2153
120838,48.892,2.1779
1434,42.5975,-8.783
100572692,38.6473,-8.2123
09,41.1079,1.194
1000,38.678,-4.0738
100001407,36.1813,-5.4357
100001403,43.5719,-5.9284
100534173,41.8381,12.6549
100001418,40.5282,-3.3923
100001000,38.678,-4.0738
1000,38.6884,-4.1079
29,41.1019,1.2257
24812927-RUTA2-20,49.5384,8.4106
1200,38.8258,-0.5554
24814140-RUTA2-20,41.4667,2.0005
1000,38.6813,-4.0553
100531820,41.7099,1.8496
100572706,39.6085,-0.3177
24815176-RUTA2-20,51.2838,4.38
24815177-RUTA2-20,51.2838,4.38
24814994-RUTA2-20,45.6368,8.8342
24813901-RUTA2-20,45.6368,8.8342
1200,38.8232,-0.5511
2250,7.8828,-76.6247
24815532-RUTA2-20,51.2838,4.38
100553993,38.8922,-9.1887
100572692,38.6538,-8.2651
100001430,38.9124,-8.8816
24815846-RUTA2-20,51.2838,4.38
09,37.9753,-1.2369
24818193-RUTA2-20,42.5233,2.8122
100544225,38.7261,-9.3335
100578636,37.1462,-7.841
100574500,40.3895,-3.4084
40,41.1089,1.2493
11401,38.0347,-1.1893
29,41.1066,1.2405
24815638-RUTA2-20,45.6368,8.8342
24815296-RUTA2-20,45.6368,8.8342
09,41.1146,1.1765
24816425-RUTA2-20,45.6368,8.8342
24815943-RUTA2-20,45.6368,8.8342
24815001-RUTA2-20,32.3794,-86.3152
24816426-RUTA2-20,45.6368,8.8342
100583030,37.0238,-5.0232
100517353,42.7189,-2.9842
1000,38.6873,-4.1097
100564645,43.3581,-3.0519
12328A,41.7815,1.8958
100001426,39.4781,-0.5693
100001410,43.2396,-2.8777
1806,43.3323,-3.111
1211,40.1722,-3.6667
100579285,43.2121,-2.8713
1015,37.5744,-0.93
1808,41.1046,1.2116
100585098,40.3332,-3.7064
100534390,40.0563,-6.2888
30068,38.3398,-0.5602
1803,41.1173,1.2546
100584511,36.969,-3.7308
100515815,43.3955,-4.0275
100580221,40.1929,-3.6892
100579543,37.3985,-6.9648
24815755-RUTA2-20,49.5384,8.4106
24816700-RUTA2-20,45.6368,8.8342
24817045-RUTA2-20,45.6368,8.8342
24816886-RUTA2-20,45.6368,8.8342
24817384-RUTA2-20,45.6368,8.8342
24814996-RUTA2-20,45.6368,8.8342
100583322,36.7747,-2.807
24819620-RUTA2-20,48.1443,11.7037
100500144,41.6821,-4.745
100569953,45.4213,10.1971
100581905,42.1292,3.0655
100001015,37.5744,-0.93
24821601-RUTA2-20,49.4764,8.4305
100542050,40.341,-3.8065
88665,41.2621,-8.4871
100563254,39.2673,-8.5545
100538101,39.8647,-4.0949
200101521,43.4852,-8.2445
1008,43.4202,-3.7712
100564366,41.7686,-0.8289
1218,38.984,-0.5511
100581850,37.7915,-1.357
C16205,41.1644,1.159
100524872,37.6838,-1.6997
38459,43.3253,-3.1131
100519366,38.1636,-1.1161
100548722,38.8928,1.3522
100569847,36.7744,-2.8141
36,41.935,0.1593
106,41.2094,1.1977
C74205,39.4471,-0.3348
16,41.1652,1.1713
1804,43.3486,-8.445
24817284-RUTA2-20,45.6368,8.8342
24818943-RUTA2-20,45.6368,8.8342
24818269-RUTA2-20,45.6368,8.8342
24818133-RUTA2-20,45.6368,8.8342
24818599-RUTA2-20,45.6368,8.8342
24818451-RUTA2-20,45.6368,8.8342
1801,38.6865,-4.1127
1200,38.8252,-0.5541
24819726-RUTA2-20,45.6368,8.8342
24818928-RUTA2-20,45.6368,8.8342
24819725-RUTA2-20,45.6368,8.8342
100579292,40.59,-3.2474
100578698,41.542,2.0396
100572406,43.1449,6.0389
100528920,38.3068,-0.6458
37,41.2065,1.2427
100001430,39.0586,-8.8906
100539164,38.7715,-9.309
100518224,35.8894,-5.3213
100570000,39.4318,-0.7859
1001,42.0091,-4.5378
100553581,39.6107,-0.3181
100515860,39.5578,-0.4934
24817285-RUTA2-20,45.6368,8.8342
03,41.404,1.0435
100567772,36.943,-2.4632
100553309,40.3968,-3.5811
100517353,42.7173,-2.9833
24817267-RUTA2-20,49.5384,8.4106
09,41.1344,1.1698
03,41.1849,1.21
100530359,42.6288,2.7648
100001214,40.6097,-7.7268
24818448-RUTA2-20,45.6368,8.8342
100541336,39.5252,-8.9115
36,41.9213,0.1672
100515803,43.5285,-8.0811
24819228-RUTA2-20,45.6368,8.8342
24820242-RUTA2-20,45.6368,8.8342
24819234-RUTA2-20,45.6368,8.8342
100500383,39.0714,-0.2634
100000004,37.5778,-0.9167
100001442,35.8964,-5.3269
100578287,36.9349,-2.4503
2250,37.9261,-8.7701
100537543,39.3404,-0.6145
100518672,38.1806,-0.8696
100533295,43.5433,-5.7232
1492,40.4604,-3.6471
100515896,37.9874,-0.6774
C16205,41.1653,1.1774
100582010,38.8464,-0.6478
24818449-RUTA2-20,45.6368,8.8342
24825412-RUTA2-20,49.5384,8.4106
100539226,42.6675,-1.665
100578295,38.3356,-0.4923
24820870-RUTA2-20,45.6368,8.8342
24822611-RUTA2-20,45.6368,8.8342
1001,42.0048,-4.5426
24823459-RUTA2-20,48.2262,16.3823
24824753-RUTA2-20,45.6368,8.8342
100001211,40.1722,-3.6667
100559805,38.8917,-6.6214
1214,40.6099,-7.7275
100570613,39.0572,-0.5493
100580975,37.2039,-3.652
100568430,37.7222,-3.9672
100583085,39.2661,-8.5535
100001448,36.1443,-5.3657
100540801,39.4586,-8.2518
100563295,41.6105,0.6707
100521616,37.6168,-0.8801
100559459,39.2483,-9.1144
100581394,37.8499,-0.7982
100580708,37.7705,-1.2179
100564918,41.9049,2.804
24824605-RUTA2-20,45.6368,8.8342
24824617-RUTA2-20,45.6368,8.8342
100579880,38.0479,-1.9616
24823963-RUTA2-20,45.6368,8.8342
24823135-RUTA2-20,45.6368,8.8342
24818450-RUTA2-20,45.6368,8.8342
1005,43.1239,-7.6322
100580018,39.3746,-0.4037
100575525,40.9278,-4.0725
100521564,39.4666,-0.4669
100571344,40.3689,-1.145
100520103,37.1939,-1.9157
100516276,43.1438,-2.9411
100546449,41.7667,-8.5948
24823604-RUTA2-20,45.6368,8.8342
24825992-RUTA2-20,45.6368,8.8342
24825881-RUTA2-20,45.6368,8.8342
24825983-RUTA2-20,45.6368,8.8342
100000004,37.5766,-0.9214
100000006,41.1849,1.21
100544701,37.4922,-4.5019
100552407,40.0458,-3.3623
C01205,40.3227,-3.8644
30112,39.5382,-0.3707
C110205,41.666,1.8561
100544598,39.0561,-9.0062
100524716,37.846,-0.8048
100544188,38.7076,-9.2774
C106205,41.2122,1.2047
C16205,41.1641,1.1711
24824627-RUTA2-20,45.6368,8.8342
