CodigoInternoPuntoDescarga,LatitudPuntoDescarga,LongitudPuntoDescarga
C115205,41.1535,1.2126
80521,45.6216,9.245
12776,41.635,-1.0217
12510B,41.215,1.1516
80619PRO,41.7802,1.8505
12536,41.5839,2.268
10007,41.6327,-1.1919
92255SON,43.2982,-2.9392
89471,38.7969,-9.3335
12720,42.6857,-2.9404
CBE09205,51.3704,4.2893
12347PF,41.1139,1.1826
11369,39.3638,-0.462
10059,41.3458,2.035
80619FB,49.2313,1.1666
03,41.1996,1.2194
83891,50.6386,2.9984
12122,40.4236,0.4309
89766,48.1841,2.2459
12347TB,41.1139,1.1826
11103,41.1089,1.1458
11634,41.5116,-4.6386
12838,41.4738,2.0956
30115,36.5271,-6.2886
84993,50.0675,5.9815
10411M,40.1704,-3.6537
82421,40.705,-8.4898
C115205,41.165,1.1718
C143205,41.1586,1.1764
24800617-RUTA1-20,32.3794,-86.3152
10113,41.3104,1.6553
89306B,40.8814,-8.6331
80619F,45.2956,3.3865
09,41.1145,1.1816
10374,41.212,1.162
30307,38.6144,-1.1041
40292,43.2872,-2.9326
C29205,41.1051,1.2464
24800615-RUTA1-20,32.3794,-86.3152
C03205,41.1922,1.2064
80521,45.6215,9.2449
24800616-RUTA1-20,32.3794,-86.3152
CDE06205,49.5417,8.4119
12347TB,41.1142,1.1825
20136,36.7878,-2.724
11322A,41.1215,1.1809
11420,42.489,-2.4234
C40205,41.1019,1.2257
12150,38.9092,-0.5394
89183,50.672,12.1496
10218,40.8126,0.5214
C02205,38.6856,-4.1062
12338,40.3082,-3.4653
24800632-RUTA1-20,32.3794,-86.3152
12891MOL,41.5542,2.232
89440I20,45.5829,9.0878
89552B03,51.0651,5.1533
143,41.1586,1.1764
88298RE,44.8824,10.546
12768A,41.9996,2.2733
86326A,51.8668,4.9896
20233A,41.5519,1.8809
11114,41.5846,2.2286
10114,41.6238,2.268
11565,41.7768,2.7325
12467ZGZ,41.5028,-0.6009
88618,50.3371,3.5797
89471,38.7969,-9.3331
24802062-RUTA1-20,32.3794,-86.3152
91534,43.8487,5.0327
1.2347E12,41.4443,1.9878
11487VA,39.4737,-0.6507
1.2484E12,41.518,2.2016
87210BG,45.6323,9.5456
11480,39.4657,-0.4696
24802588-RUTA1-20,32.3794,-86.3152
12838,41.4741,2.0961
92357VIL,46.003,4.7243
83917,48.5148,3.6299
10983,41.7872,1.098
12510A,41.2161,1.1503
90011,45.6653,9.0179
85094,41.2289,-8.58
12467_00SA,40.8884,-8.4815
92539EUR,50.6447,5.4695
91028,49.209,0.7104
12510A,41.215,1.1516
88032,50.4453,3.344
10132B,41.5302,1.3795
89306B,40.8823,-8.6348
12207,41.4932,2.1819
12031,41.5353,2.1821
1.2774E19,41.1287,1.2284
12891MOL,41.5451,2.2089
84861,40.8809,-8.4907
12547,50.7587,3.2313
10113,41.3107,1.6539
12836,38.099,-1.2325
C40205,41.1066,1.2405
92092,40.3278,-8.0494
11103A,41.2854,1.2495
30043,38.9431,-0.4439
24804206-RUTA1-20,32.3794,-86.3152
20061B,40.2087,-3.6856
30315B,41.6299,2.1802
10119CA,41.7318,1.5179
11487SPB3,39.48,-0.6588
85014,38.5694,-8.9017
80411,40.9658,-8.6164
83194AV,40.9298,14.8233
83997,41.0812,-8.6005
10227,41.5439,2.268
82965P20,39.1645,-8.9192
C29205,41.1066,1.2405
C02205,38.6858,-4.1124
C29205,41.1019,1.2257
30125,38.099,-1.2325
70015A,43.4107,-3.7778
80931,42.6061,2.976
30315RO,38.5076,-1.6888
91854EOC,51.0948,3.6792
12536,41.5932,2.269
88374,50.0902,3.531
92426,45.5562,12.0352
90787A,46.065,8.2652
88869PTL,39.7868,-8.8261
89269FR2,49.5253,0.7233
91650,51.783,4.6215
80752SS,45.2546,4.2431
85587,50.9708,3.1271
80302BE,50.6217,6.0309
11157,41.6398,2.4015
11634,41.5378,-4.6626
12140A,41.106,1.1688
87210BG,45.6336,9.5453
87317,39.7413,-8.9298
12347GU,40.6166,-3.2072
90957CP,45.555,8.7629
12282M28,40.6415,-3.7828
13028_00AL,40.7065,-8.4956
86238,56.1119,10.2059
10411PRA,42.4032,-2.1205
10007,41.5746,-1.2314
12347TB,41.1146,1.1765
83194IT,40.7483,17.5753
C36205,41.935,0.1593
86477,51.0073,2.3533
88605,40.7666,-8.5666
87333,44.7709,10.7819
11113,41.5846,2.2286
10264,41.7354,1.8398
10411C,42.2141,2.5933
11487SPB3,39.4935,-0.6856
20061,40.2017,-3.6765
87200,53.1793,6.1765
1.2774E19,41.0801,1.1577
90030,48.4042,16.3021
1000,38.678,-4.0738
1016,38.666,-4.0485
87210C,45.2574,8.6275
100564366,41.7686,-0.8289
100533180,37.4319,-3.6078
1.2455E18,38.1891,-5.0174
100500151,41.461,1.9597
89306B,40.8818,-8.6248
92089,48.6976,9.7037
100549831,41.4452,1.9879
100549929,41.7277,0.7424
100001439,41.1398,1.2238
100001214,40.6097,-7.7268
100578381,41.1268,-8.5333
92255_00FI,45.6183,9.5498
30115,37.6764,-1.7077
89471,38.7464,-9.1537
90172,51.6883,9.9797
100548661,39.6031,-8.8157
11422,37.095,-4.3814
12595TO,39.9749,-3.4157
89457A,41.8239,-8.4316
1000,38.6768,-4.0611
100521705,41.5433,2.2306
100578295,38.3356,-0.4923
100500274,37.5348,-6.1538
100582365,41.2286,-8.6633
100583085,39.2661,-8.5535
24816425-RUTA1-20,41.3664,2.1646
91854,50.8669,3.6008
88665,41.2621,-8.4871
12584_00MO,41.5549,2.2724
10736BAR,41.562,2.2762
88659,40.9658,-8.6164
100001430,38.9124,-8.8816
100001403,43.5719,-5.9284
49216,43.2752,-1.7122
12347TB,41.1144,1.1771
100536253,41.4553,1.9509
100553993,38.8922,-9.1887
1000,38.6884,-4.1079
100573385,43.5719,-5.9286
92475ES,41.2122,1.2047
92085,40.7815,-8.589
100582151,39.3649,-3.7333
84993,50.068,5.9811
1217,42.4264,-2.2632
100574500,40.3895,-3.4084
640644,48.8898,2.1728
100563579,61.7991,16.5534
C28205,41.3548,1.7298
88902E,50.163,2.3592
C110205,41.6614,1.8601
